Title,URL,Assignees,Status,Linked pull requests,Sub-issues progress,Planned Start,Planned End
Task: Connect drilldown to underlying dataset,https://github.com/whitneyrobinson-creator/Analytics-and-Consulting-/issues/33,danielsaya-design,Todo,,,3-Apr-26,6-Apr-26
User Story 3.3.1,https://github.com/whitneyrobinson-creator/Analytics-and-Consulting-/issues/35,danielsaya-design,Todo,,0 / 4 (0%),9-Apr-26,15-Apr-26
Task: Test performance on large datasets,https://github.com/whitneyrobinson-creator/Analytics-and-Consulting-/issues/34,danielsaya-design,Todo,,,7-Apr-26,8-Apr-26
Task: Configure data refresh schedule,https://github.com/whitneyrobinson-creator/Analytics-and-Consulting-/issues/37,danielsaya-design,Todo,,,9-Apr-26,11-Apr-26
Task: Validate refresh timing,https://github.com/whitneyrobinson-creator/Analytics-and-Consulting-/issues/38,danielsaya-design,Todo,,,9-Apr-26,11-Apr-26
Task: Test data feeds,https://github.com/whitneyrobinson-creator/Analytics-and-Consulting-/issues/39,danielsaya-design,Todo,,,12-Apr-26,14-Apr-26
Task: Monitor data latency,https://github.com/whitneyrobinson-creator/Analytics-and-Consulting-/issues/40,danielsaya-design,Todo,,,12-Apr-26,15-Apr-26
EPIC 4: Validation & Testing,https://github.com/whitneyrobinson-creator/Analytics-and-Consulting-/issues/41,,Todo,,0 / 2 (0%),16-Apr-26,29-Apr-26
Task: Develop UAT test cases,https://github.com/whitneyrobinson-creator/Analytics-and-Consulting-/issues/44,whitneyrobinson-creator,Todo,,,16-Apr-26,17-Apr-26
User Story 2.3.1,https://github.com/whitneyrobinson-creator/Analytics-and-Consulting-/issues/13,"christophercabrera-glitch, whitneyrobinson-creator",Todo,,0 / 6 (0%),19-Feb-26,18-Mar-26
"Task: Identify predictive variables (tenure, salary, promotion timing, team size)",https://github.com/whitneyrobinson-creator/Analytics-and-Consulting-/issues/14,christophercabrera-glitch,In Progress,,,19-Feb-26,25-Feb-26
Task: Perform feature engineering,https://github.com/whitneyrobinson-creator/Analytics-and-Consulting-/issues/15,christophercabrera-glitch,Todo,,,26-Feb-26,4-Mar-26
Task: Build attrition prediction model,https://github.com/whitneyrobinson-creator/Analytics-and-Consulting-/issues/16,christophercabrera-glitch,Todo,,,5-Mar-26,11-Mar-26
Task: Validate model accuracy,https://github.com/whitneyrobinson-creator/Analytics-and-Consulting-/issues/17,christophercabrera-glitch,Todo,,,12-Mar-26,18-Mar-26
Task: Create risk scoring system,https://github.com/whitneyrobinson-creator/Analytics-and-Consulting-/issues/18,christophercabrera-glitch,Todo,,,12-Mar-26,18-Mar-26
Task: Document model assumptions,https://github.com/whitneyrobinson-creator/Analytics-and-Consulting-/issues/19,christophercabrera-glitch,Todo,,,12-Mar-26,18-Mar-26
EPIC 3: HR Retention Dashboard Development,https://github.com/whitneyrobinson-creator/Analytics-and-Consulting-/issues/20,,Todo,,0 / 3 (0%),19-Mar-26,15-Apr-26
